,0
0,70
1,49
2,65
3,6
4,66
5,55
6,43
7,55
8,56
9,62
10,34
11,32
12,36
13,21
14,59
15,34
16,38
17,50
18,59
19,43
20,32
21,67
22,39
23,36
24,49
25,45
26,36
27,30
28,23
29,29
30,63
31,62
32,47
33,42
34,48
35,65
36,62
37,26
38,49
39,56
40,74
41,47
42,76
43,85
44,36
45,18
46,29
47,31
48,34
49,80
50,33
51,17
52,31
53,33
54,28
55,70
56,32
57,54
58,70
59,34
60,58
61,27
62,73
63,16
64,54
65,60
66,43
67,44
68,28
69,61
70,52
71,52
72,31
73,45
74,58
75,22
76,28
77,43
78,50
79,67
80,25
81,23
82,53
83,55
84,65
85,59
86,48
87,42
88,63
89,56
90,73
91,65
92,74
93,43
94,42
95,76
96,79
97,62
98,44
99,82
100,55
101,56
102,22
103,47
104,63
105,69
106,48
107,73
108,77
109,41
110,21
111,29
112,37
113,34
114,47
115,52
116,59
117,53
118,18
119,21
120,39
121,54
122,41
123,52
124,37
125,56
126,27
127,68
128,17
129,48
130,33
131,39
132,39
133,18
134,70
135,58
136,59
137,49
138,66
139,62
140,39
141,40
142,30
143,43
144,62
145,16
146,35
147,39
148,45
149,43
150,19
151,41
152,35
153,77
154,52
155,45
156,46
157,72
158,36
159,55
160,60
161,78
162,72
163,40
164,56
165,36
166,50
167,26
168,42
169,39
170,73
171,40
172,70
173,63
174,36
175,20
176,15
177,26
178,34
179,47
180,57
181,65
182,70
183,42
184,69
185,73
186,60
187,52
188,66
189,31
190,64
191,25
192,79
193,11
194,38
195,43
196,42
197,45
198,29
199,68
200,60
201,40
202,46
203,59
204,63
205,40
206,31
207,49
208,38
209,64
210,42
211,51
212,61
213,55
214,61
215,32
216,26
217,27
218,32
219,22
220,39
221,47
222,76
223,52
224,43
225,64
226,59
227,65
228,45
229,77
230,59
231,76
232,35
233,47
234,68
235,63
236,57
237,73
238,88
239,30
240,15
241,29
242,41
243,34
244,46
245,43
246,62
247,62
248,39
249,21
250,66
251,20
252,53
253,79
254,48
255,48
256,38
257,81
258,19
259,53
260,53
261,10
262,62
263,34
264,63
265,64
266,45
267,50
268,56
269,67
270,41
271,33
272,32
273,30
274,62
275,36
276,41
277,65
278,64
279,63
280,17
281,41
282,32
283,69
284,46
285,36
286,70
287,88
288,38
289,30
290,44
291,52
292,33
293,28
294,55
295,59
296,61
297,17
298,45
299,53
300,62
301,52
302,74
303,75
304,26
305,13
306,29
307,30
308,34
309,50
310,43
311,33
312,40
313,91
314,21
315,54
316,20
317,54
318,66
319,46
320,59
321,27
322,75
323,17
324,36
325,43
326,53
327,44
328,22
329,71
330,64
331,54
332,18
333,49
334,57
335,87
336,38
337,6
338,27
339,47
340,34
341,46
342,57
343,40
344,54
345,33
346,52
347,46
348,74
349,55
350,51
351,66
352,67
353,38
354,47
355,55
356,58
357,58
358,29
359,38
360,43
361,27
362,30
363,24
364,50
365,71
366,55
367,78
368,82
369,38
370,17
371,15
372,31
373,34
374,46
375,58
376,70
377,57
378,26
379,32
380,50
381,32
382,45
383,36
384,40
385,58
386,43
387,69
388,20
389,45
390,63
391,37
392,42
393,22
394,70
395,72
396,56
397,55
398,69
399,66
400,41
401,38
402,36
403,33
404,47
405,35
406,48
407,62
408,68
409,56
410,38
411,36
412,39
413,77
414,52
415,66
416,77
417,77
418,68
419,49
420,72
421,59
422,75
423,65
424,65
425,64
426,58
427,32
428,55
429,42
430,27
431,67
432,100
433,52
434,28
435,20
436,29
437,38
438,34
439,47
440,46
441,76
442,65
443,39
444,41
445,68
446,49
447,58
448,75
449,35
450,56
451,38
452,62
453,31
454,46
455,50
456,51
457,46
458,30
459,59
460,51
461,23
462,52
463,57
464,60
465,38
466,28
467,29
468,41
469,53
470,19
471,39
472,50
473,56
474,43
475,25
476,45
477,37
478,32
479,43
480,45
481,41
482,46
483,15
484,32
485,44
486,48
487,56
488,34
489,53
490,52
491,61
492,41
493,40
494,56
495,62
496,40
497,73
498,84
499,41
500,15
501,29
502,64
503,34
504,44
505,38
506,40
507,46
508,40
509,22
510,62
511,20
512,53
513,75
514,46
515,59
516,35
517,71
518,29
519,43
520,50
521,38
522,52
523,31
524,68
525,42
526,39
527,26
528,38
529,44
530,41
531,27
532,36
533,34
534,61
535,27
536,35
537,57
538,63
539,67
540,42
541,26
542,44
543,56
544,49
545,62
546,60
547,55
548,30
549,59
550,62
551,69
552,76
553,43
554,77
555,31
556,64
557,50
558,32
559,67
560,72
561,48
562,85
563,76
564,34
565,25
566,29
567,40
568,34
569,44
570,37
571,46
572,18
573,55
574,21
575,45
576,32
577,60
578,75
579,64
580,58
581,25
582,72
583,36
584,47
585,52
586,54
587,27
588,31
589,73
590,64
591,39
592,48
593,57
594,52
595,90
596,45
597,11
598,40
599,56
600,25
601,38
602,62
603,51
604,52
605,44
606,56
607,37
608,74
609,66
610,49
611,59
612,63
613,43
614,44
615,51
616,67
617,50
618,40
619,52
620,44
621,70
622,30
623,45
624,60
625,63
626,43
627,69
628,72
629,40
630,24
631,29
632,38
633,34
634,51
635,68
636,77
637,57
638,38
639,21
640,55
641,50
642,41
643,57
644,55
645,55
646,33
647,78
648,18
649,41
650,50
651,29
652,30
653,24
654,69
655,55
656,42
657,47
658,51
659,40
660,38
661,37
662,33
663,24
664,44
665,33
666,25
667,43
668,61
669,65
670,54
671,36
672,45
673,94
674,42
675,66
676,64
677,76
678,64
679,52
680,63
681,71
682,83
683,53
684,55
685,47
686,64
687,65
688,56
689,48
690,54
691,39
692,62
693,65
694,84
695,21
696,29
697,37
698,26
699,53
700,60
701,73
702,71
703,36
704,43
705,93
706,51
707,70
708,87
709,50
710,57
711,27
712,73
713,11
714,54
715,57
716,64
717,63
718,25
719,73
720,72
721,50
722,52
723,62
724,51
725,39
726,30
727,41
728,35
729,66
730,16
731,30
732,50
733,68
734,58
735,36
736,26
737,53
738,38
739,59
740,34
741,44
742,44
743,60
744,46
745,63
746,47
747,68
748,45
749,74
750,60
751,69
752,54
753,49
754,68
755,71
756,52
757,79
758,69
759,38
760,20
761,29
762,50
763,34
764,75
765,19
766,53
767,36
768,38
769,23
770,73
771,20
772,54
773,81
774,52
775,55
776,23
777,72
778,21
779,39
780,50
781,43
782,24
783,35
784,71
785,56
786,56
787,43
788,46
789,38
790,38
791,18
792,29
793,29
794,54
795,30
796,38
797,47
798,72
799,54
800,44
801,26
802,41
803,55
804,38
805,56
806,40
807,54
808,21
809,26
810,50
811,42
812,58
813,17
814,50
815,32
816,53
817,48
818,33
819,70
820,73
821,44
822,77
823,73
824,30
825,17
826,29
827,37
828,34
829,48
830,32
831,37
832,51
833,69
834,21
835,39
836,40
837,57
838,73
839,50
840,57
841,29
842,71
843,20
844,39
845,67
846,54
847,40
848,31
849,71
850,56
851,63
852,44
853,49
854,41
855,34
856,77
857,35
858,24
859,57
860,18
861,45
862,48
863,42
864,60
865,34
866,12
867,39
868,62
869,73
870,50
871,74
872,62
873,34
874,69
875,55
876,66
877,55
878,25
879,40
880,50
881,70
882,83
883,45
884,49
885,71
886,56
887,67
888,73
889,35
890,21
891,29
892,40
893,34
894,46
895,59
896,77
897,57
898,35
899,34
900,50
901,20
902,47
903,61
904,44
905,58
906,33
907,65
908,20
909,51
910,33
911,30
912,60
913,31
914,70
915,66
916,40
917,60
918,71
919,63
920,40
921,37
922,33
923,28
924,45
925,30
926,45
927,45
928,40
929,40
930,22
931,23
932,41
933,55
934,24
935,59
936,43
937,67
938,49
939,54
940,75
941,69
942,84
943,56
944,84
945,49
946,75
947,33
948,43
949,68
950,54
951,63
952,62
953,66
954,56
955,15
956,29
957,29
958,34
959,47
960,49
961,60
962,59
963,47
964,41
965,73
966,20
967,66
968,82
969,36
970,55
971,28
972,70
973,44
974,37
975,43
976,48
977,62
978,26
979,65
980,58
981,28
982,40
983,46
984,44
985,39
986,16
987,32
988,29
989,59
990,24
991,38
992,56
993,42
994,40
995,34
996,41
997,43
998,48
999,28
1000,51
1001,48
1002,51
1003,38
1004,37
1005,66
1006,47
1007,53
1008,45
1009,73
1010,52
1011,59
1012,26
1013,48
1014,67
1015,74
1016,50
1017,71
1018,63
1019,39
1020,20
1021,29
1022,41
1023,34
1024,75
1025,28
1026,35
1027,41
1028,33
1029,21
1030,67
1031,21
1032,55
1033,77
1034,45
1035,61
1036,34
1037,73
1038,22
1039,62
1040,50
1041,66
1042,24
1043,33
1044,71
1045,69
1046,41
1047,44
1048,17
1049,41
1050,34
1051,24
1052,30
1053,30
1054,66
1055,19
1056,32
1057,53
1058,84
1059,60
1060,37
1061,41
1062,50
1063,57
1064,50
1065,46
1066,72
1067,64
1068,41
1069,58
1070,57
1071,69
1072,15
1073,31
1074,43
1075,45
1076,57
1077,27
1078,37
1079,64
1080,72
1081,51
1082,87
1083,75
1084,42
1085,52
1086,29
1087,39
1088,34
1089,49
1090,62
1091,44
1092,50
1093,24
1094,21
1095,53
1096,40
1097,52
1098,54
1099,35
1100,56
1101,53
1102,70
1103,16
1104,9
1105,50
1106,40
1107,48
1108,31
1109,78
1110,67
1111,44
1112,46
1113,51
1114,54
1115,38
1116,36
1117,19
1118,76
1119,52
1120,16
1121,21
1122,47
1123,52
1124,47
1125,40
1126,34
1127,34
1128,64
1129,46
1130,55
1131,59
1132,70
1133,60
1134,36
1135,66
1136,65
1137,72
1138,32
1139,57
1140,54
1141,59
1142,39
1143,38
1144,75
1145,72
1146,36
1147,64
1148,53
1149,25
1150,25
1151,29
1152,33
1153,34
1154,51
1155,57
1156,56
1157,58
1158,31
1159,41
1160,58
1161,20
1162,55
1163,58
1164,40
1165,58
1166,25
1167,75
1168,11
1169,38
1170,67
1171,40
1172,53
1173,25
1174,67
1175,65
1176,25
1177,50
1178,60
1179,67
1180,42
1181,40
1182,42
1183,35
1184,52
1185,38
1186,50
1187,77
1188,61
1189,47
1190,20
1191,19
1192,34
1193,36
1194,34
1195,64
1196,67
1197,78
1198,57
1199,51
1200,66
1201,61
1202,68
1203,48
1204,70
1205,45
1206,82
1207,22
1208,45
1209,64
1210,79
1211,48
1212,69
1213,64
1214,25
1215,15
1216,29
1217,36
1218,20
1219,48
1220,57
1221,71
1222,55
1223,29
1224,21
1225,78
1226,58
1227,54
1228,78
1229,60
1230,55
1231,39
1232,74
1233,10
1234,48
1235,53
1236,35
1237,24
1238,30
1239,42
1240,75
1241,36
1242,45
1243,59
1244,64
1245,34
1246,28
1247,38
1248,36
1249,58
1250,29
1251,34
1252,60
1253,61
1254,45
1255,26
1256,41
1257,40
1258,29
1259,52
1260,51
1261,71
1262,76
1263,37
1264,26
1265,55
1266,55
1267,59
1268,53
1269,66
1270,57
1271,57
1272,50
1273,44
1274,86
1275,82
1276,49
1277,80
1278,76
1279,36
1280,21
1281,29
1282,36
1283,34
1284,51
1285,38
1286,36
1287,46
1288,63
1289,21
1290,46
1291,67
1292,63
1293,61
1294,33
1295,52
1296,30
1297,74
1298,18
1299,51
1300,23
1301,47
1302,52
1303,21
1304,73
1305,66
1306,36
1307,43
1308,47
1309,45
1310,43
1311,38
1312,29
1313,31
1314,32
1315,23
1316,25
1317,37
1318,54
1319,54
1320,31
1321,34
1322,42
1323,48
1324,33
1325,43
1326,37
1327,70
1328,30
1329,39
1330,40
1331,52
1332,47
1333,29
1334,11
1335,26
1336,39
1337,38
1338,35
1339,43
1340,70
1341,39
1342,65
1343,55
1344,29
1345,20
1346,29
1347,37
1348,34
1349,47
1350,46
1351,54
1352,49
1353,31
1354,21
1355,44
1356,40
1357,57
1358,69
1359,42
1360,50
1361,19
1362,69
1363,23
1364,45
1365,47
1366,38
1367,33
1368,25
1369,73
1370,65
1371,59
1372,55
1373,75
1374,58
1375,36
1376,31
1377,38
1378,37
1379,56
1380,24
1381,51
1382,57
1383,56
1384,65
1385,18
1386,41
1387,34
1388,51
1389,29
1390,58
1391,49
1392,83
1393,57
1394,41
1395,64
1396,68
1397,69
1398,37
1399,64
1400,48
1401,71
1402,20
1403,32
1404,51
1405,44
1406,30
1407,67
1408,55
1409,35
1410,22
1411,29
1412,39
1413,5
1414,47
1415,53
1416,64
1417,74
1418,35
1419,34
1420,88
1421,62
1422,56
1423,77
1424,42
1425,58
1426,16
1427,72
1428,11
1429,33
1430,10
1431,41
1432,50
1433,36
1434,68
1435,58
1436,46
1437,45
1438,67
1439,57
1440,38
1441,34
1442,39
1443,44
1444,61
1445,34
1446,46
1447,48
1448,42
1449,38
1450,29
1451,34
1452,45
1453,49
1454,57
1455,31
1456,53
1457,51
1458,40
1459,40
1460,56
1461,62
1462,62
1463,44
1464,77
1465,60
1466,76
1467,51
1468,42
1469,85
1470,72
1471,56
1472,76
1473,68
1474,34
1475,28
1476,29
1477,71
1478,34
1479,75
1480,16
1481,51
1482,38
1483,26
1484,21
1485,47
1486,40
1487,52
1488,67
1489,39
1490,57
1491,30
1492,71
1493,15
1494,34
1495,33
1496,24
1497,31
1498,14
1499,61
1500,46
1501,63
1502,35
1503,49
1504,52
1505,34
1506,26
1507,31
1508,33
1509,64
1510,48
1511,51
1512,60
1513,58
1514,72
1515,79
1516,52
1517,40
1518,67
1519,50
1520,43
1521,47
1522,47
1523,21
1524,26
1525,29
1526,39
1527,57
1528,25
1529,62
1530,52
1531,67
1532,40
1533,45
1534,56
1535,66
1536,54
1537,81
1538,67
1539,41
1540,32
1541,29
1542,52
1543,34
1544,47
1545,56
1546,50
1547,39
1548,46
1549,21
1550,27
1551,40
1552,57
1553,74
1554,61
1555,63
1556,24
1557,66
1558,15
1559,41
1560,38
1561,44
1562,49
1563,29
1564,84
1565,60
1566,57
1567,54
1568,50
1569,50
1570,43
1571,32
1572,10
1573,10
1574,27
1575,23
1576,42
1577,63
1578,68
1579,69
1580,33
1581,52
1582,41
1583,53
1584,69
1585,47
1586,67
1587,83
1588,48
1589,46
1590,52
1591,64
1592,59
1593,37
1594,48
1595,50
1596,41
1597,39
1598,38
1599,47
1600,76
1601,55
1602,77
1603,76
1604,39
1605,29
1606,29
1607,42
1608,34
1609,62
1610,61
1611,84
1612,64
1613,48
1614,55
1615,73
1616,48
1617,47
1618,68
1619,22
1620,58
1621,18
1622,64
1623,13
1624,28
1625,37
1626,29
1627,69
1628,41
1629,76
1630,61
1631,40
1632,51
1633,56
1634,42
1635,40
1636,32
1637,30
1638,29
1639,55
1640,38
1641,38
1642,36
1643,48
1644,65
1645,39
1646,12
1647,30
1648,47
1649,32
1650,49
1651,36
1652,64
1653,50
1654,55
1655,68
1656,66
1657,56
1658,43
1659,61
1660,63
1661,64
1662,43
1663,58
1664,61
1665,56
1666,43
1667,67
1668,47
1669,29
1670,15
1671,0
1672,40
1673,8
1674,46
1675,45
1676,58
1677,46
1678,42
1679,21
1680,73
1681,39
1682,57
1683,81
1684,52
1685,57
1686,27
1687,74
1688,15
1689,42
1690,30
1691,72
1692,57
1693,12
1694,66
1695,55
1696,44
1697,45
1698,60
1699,60
1700,41
1701,42
1702,30
1703,30
1704,65
1705,26
1706,38
1707,63
1708,50
1709,56
1710,36
1711,15
1712,35
1713,46
1714,63
1715,42
1716,22
1717,42
1718,34
1719,38
1720,59
1721,60
1722,44
1723,43
1724,56
1725,64
1726,68
1727,47
1728,47
1729,48
1730,74
1731,53
1732,79
1733,69
1734,41
1735,23
1736,29
1737,29
1738,34
1739,73
1740,48
1741,39
1742,23
1743,33
1744,21
1745,77
1746,27
1747,56
1748,71
1749,47
1750,59
1751,26
1752,70
1753,21
1754,49
1755,40
1756,45
1757,44
1758,33
1759,60
1760,51
1761,47
1762,42
1763,36
1764,40
1765,32
1766,20
1767,29
1768,31
1769,69
1770,27
1771,29
1772,52
1773,72
1774,61
1775,25
1776,48
1777,52
1778,56
1779,44
1780,52
1781,66
1782,68
1783,53
1784,51
1785,41
1786,30
1787,46
1788,22
1789,40
1790,24
1791,58
1792,28
1793,33
1794,64
1795,51
1796,44
1797,83
1798,59
1799,30
1800,22
1801,29
1802,36
1803,34
1804,55
1805,54
1806,62
1807,59
1808,18
1809,21
1810,54
1811,40
1812,49
1813,58
1814,40
1815,49
1816,30
1817,64
1818,13
1819,47
1820,30
1821,36
1822,33
1823,15
1824,73
1825,58
1826,35
1827,45
1828,52
1829,49
1830,34
1831,37
1832,25
1833,24
1834,47
1835,17
1836,35
1837,52
1838,46
1839,60
1840,26
1841,56
1842,37
1843,41
1844,68
1845,53
1846,79
1847,73
1848,57
1849,32
1850,58
1851,64
1852,69
1853,42
1854,56
1855,32
1856,52
1857,30
1858,46
1859,40
1860,58
1861,51
1862,76
1863,69
1864,33
1865,30
1866,29
1867,31
1868,31
1869,46
1870,48
1871,72
1872,79
1873,35
1874,25
1875,65
1876,20
1877,54
1878,65
1879,50
1880,80
1881,18
1882,75
1883,13
1884,25
1885,38
1886,43
1887,43
1888,27
1889,63
1890,63
1891,31
1892,60
1893,61
1894,63
1895,38
1896,48
1897,45
1898,55
1899,71
1900,37
1901,41
1902,44
1903,51
1904,80
1905,47
1906,26
1907,21
1908,52
1909,72
1910,74
1911,69
1912,76
1913,47
1914,51
1915,67
1916,59
1917,59
1918,49
1919,72
1920,57
1921,72
1922,34
1923,47
1924,77
1925,62
1926,41
1927,69
1928,58
1929,43
1930,15
1931,29
1932,31
1933,34
1934,46
1935,47
1936,75
1937,54
1938,33
1939,21
1940,61
1941,45
1942,63
1943,78
1944,64
1945,68
1946,31
1947,73
1948,19
1949,53
1950,37
1951,39
1952,24
1953,38
1954,43
1955,42
1956,45
1957,47
1958,44
1959,51
1960,38
1961,29
1962,37
1963,34
1964,73
1965,29
1966,35
1967,39
1968,59
1969,47
1970,49
1971,23
1972,37
1973,55
1974,57
1975,48
1976,44
1977,22
1978,40
1979,34
1980,43
1981,44
1982,51
1983,34
1984,67
1985,44
1986,54
1987,24
1988,41
1989,53
1990,72
1991,52
1992,68
1993,88
1994,34
1995,21
1996,29
1997,32
1998,34
1999,52
2000,49
2001,43
2002,55
2003,67
2004,21
2005,62
2006,40
2007,58
2008,76
2009,42
2010,60
2011,25
2012,73
2013,15
2014,58
2015,62
2016,39
2017,45
2018,25
2019,77
2020,69
2021,32
2022,43
2023,43
2024,31
2025,59
2026,31
2027,26
2028,44
2029,64
2030,34
2031,31
2032,53
2033,84
2034,65
2035,21
2036,67
2037,36
2038,79
2039,62
2040,80
2041,61
2042,63
2043,65
2044,35
2045,57
2046,69
2047,37
2048,62
2049,54
2050,36
2051,35
